"OTU","Sample","Abundance","Category","Treatment","Kingdom","Phylum"
"6035","MD2095",0.047329552409319,"cropWilted","Wilted","Eukaryota","Microsporidia"
"5515","MD2096",84.1858470335954,"cropWilted","Wilted","Eukaryota","Ascomycota"
"4785","MD2096",9.08839647367167,"cropWilted","Wilted","Eukaryota","Oomycota"
"84751","MD2096",6.67524422206338,"cropWilted","Wilted","Eukaryota","Basidiomycota"
"6035","MD2096",0.0505122706695258,"cropWilted","Wilted","Eukaryota","Microsporidia"
"5515","MD2105",81.0323197323616,"cropWilted","Wilted","Eukaryota","Ascomycota"
"4785","MD2105",10.6368361311906,"cropWilted","Wilted","Eukaryota","Oomycota"
"84751","MD2105",8.29350618316506,"cropWilted","Wilted","Eukaryota","Basidiomycota"
"6035","MD2105",0.0373379532827529,"cropWilted","Wilted","Eukaryota","Microsporidia"
"5515","MD2106",83.8068181818182,"cropWilted","Wilted","Eukaryota","Ascomycota"
"4785","MD2106",9.34883373205742,"cropWilted","Wilted","Eukaryota","Oomycota"
"84751","MD2106",6.79201555023923,"cropWilted","Wilted","Eukaryota","Basidiomycota"
"6035","MD2106",0.0523325358851675,"cropWilted","Wilted","Eukaryota","Microsporidia"
"5515","MD2115",89.5336418654325,"cropWilted","Wilted","Eukaryota","Ascomycota"
"4785","MD2115",5.90818028884747,"cropWilted","Wilted","Eukaryota","Oomycota"
"84751","MD2115",4.52606817023712,"cropWilted","Wilted","Eukaryota","Basidiomycota"
"6035","MD2115",0.0321096754828667,"cropWilted","Wilted","Eukaryota","Microsporidia"
"5515","MD2116",81.264582679529,"cropWilted","Wilted","Eukaryota","Ascomycota"
"4785","MD2116",10.6141440052395,"cropWilted","Wilted","Eukaryota","Oomycota"
"84751","MD2116",8.07215271050226,"cropWilted","Wilted","Eukaryota","Basidiomycota"
"6035","MD2116",0.0491206047292227,"cropWilted","Wilted","Eukaryota","Microsporidia"
"5515","MD2125",84.8563384483434,"cropWilted","Wilted","Eukaryota","Ascomycota"
"4785","MD2125",8.83597784945836,"cropWilted","Wilted","Eukaryota","Oomycota"
"84751","MD2125",6.25920608580538,"cropWilted","Wilted","Eukaryota","Basidiomycota"
"6035","MD2125",0.0484776163928924,"cropWilted","Wilted","Eukaryota","Microsporidia"
"5515","MD2126",75.7240447413858,"cropWilted","Wilted","Eukaryota","Ascomycota"
"4785","MD2126",14.3427670595301,"cropWilted","Wilted","Eukaryota","Oomycota"
"84751","MD2126",9.87463403648375,"cropWilted","Wilted","Eukaryota","Basidiomycota"
"6035","MD2126",0.0585541626004054,"cropWilted","Wilted","Eukaryota","Microsporidia"
"5515","MD2135",79.5337208169627,"cropWilted","Wilted","Eukaryota","Ascomycota"
"4785","MD2135",11.7901094262428,"cropWilted","Wilted","Eukaryota","Oomycota"
"84751","MD2135",8.61772250543884,"cropWilted","Wilted","Eukaryota","Basidiomycota"
"6035","MD2135",0.0584472513556515,"cropWilted","Wilted","Eukaryota","Microsporidia"
"5515","MD2136",79.0015216288675,"cropWilted","Wilted","Eukaryota","Ascomycota"
"4785","MD2136",12.0715890152887,"cropWilted","Wilted","Eukaryota","Oomycota"
"84751","MD2136",8.88341424534454,"cropWilted","Wilted","Eukaryota","Basidiomycota"
"6035","MD2136",0.0434751104992392,"cropWilted","Wilted","Eukaryota","Microsporidia"
"5515","P3066",81.4315730980951,"forestDegraded",NA,"Eukaryota","Ascomycota"
"4785","P3066",9.33023078125271,"forestDegraded",NA,"Eukaryota","Oomycota"
"84751","P3066",9.20172955701808,"forestDegraded",NA,"Eukaryota","Basidiomycota"
"6035","P3066",0.0364665636341535,"forestDegraded",NA,"Eukaryota","Microsporidia"
"5515","P3074",83.0935341288862,"forestDegraded",NA,"Eukaryota","Ascomycota"
"4785","P3074",9.50019488004511,"forestDegraded",NA,"Eukaryota","Oomycota"
"84751","P3074",7.35817293738131,"forestDegraded",NA,"Eukaryota","Basidiomycota"
"6035","P3074",0.0480980536873792,"forestDegraded",NA,"Eukaryota","Microsporidia"
"5515","P3078",80.4116529449018,"forestDegraded",NA,"Eukaryota","Ascomycota"
"4785","P3078",11.1412286257125,"forestDegraded",NA,"Eukaryota","Oomycota"
"84751","P3078",8.39898670044332,"forestDegraded",NA,"Eukaryota","Basidiomycota"
"6035","P3078",0.0481317289423686,"forestDegraded",NA,"Eukaryota","Microsporidia"
"5515","P3217",83.8369747582333,"forestDegraded",NA,"Eukaryota","Ascomycota"
"4785","P3217",8.94301279996984,"forestDegraded",NA,"Eukaryota","Oomycota"
"84751","P3217",7.17288442324731,"forestDegraded",NA,"Eukaryota","Basidiomycota"
"6035","P3217",0.0471280185495881,"forestDegraded",NA,"Eukaryota","Microsporidia"
"5515","P3254",88.2459823692946,"forestDegraded",NA,"Eukaryota","Ascomycota"
"4785","P3254",6.54891461371035,"forestDegraded",NA,"Eukaryota","Oomycota"
"84751","P3254",5.17813689799744,"forestDegraded",NA,"Eukaryota","Basidiomycota"
"6035","P3254",0.0269661189976308,"forestDegraded",NA,"Eukaryota","Microsporidia"
"5515","P3305",79.0812301008995,"forestDegraded",NA,"Eukaryota","Ascomycota"
"4785","P3305",11.9464221069144,"forestDegraded",NA,"Eukaryota","Oomycota"
"84751","P3305",8.92593589588883,"forestDegraded",NA,"Eukaryota","Basidiomycota"
"6035","P3305",0.0464118962972589,"forestDegraded",NA,"Eukaryota","Microsporidia"
"5515","P3399",77.0183388294465,"forestDegraded",NA,"Eukaryota","Ascomycota"
"4785","P3399",12.9961329505824,"forestDegraded",NA,"Eukaryota","Oomycota"
"84751","P3399",9.91910037721525,"forestDegraded",NA,"Eukaryota","Basidiomycota"
"6035","P3399",0.0664278427558065,"forestDegraded",NA,"Eukaryota","Microsporidia"
"5515","P3029",75.7167486111998,"nearCrop",NA,"Eukaryota","Ascomycota"
"4785","P3029",13.8060575101633,"nearCrop",NA,"Eukaryota","Oomycota"
"84751","P3029",10.4271757869868,"nearCrop",NA,"Eukaryota","Basidiomycota"
"6035","P3029",0.0500180916501713,"nearCrop",NA,"Eukaryota","Microsporidia"
"5515","P3080",76.8313720658,"nearCrop",NA,"Eukaryota","Ascomycota"
"4785","P3080",12.8642720719611,"nearCrop",NA,"Eukaryota","Oomycota"
"84751","P3080",10.2304232641242,"nearCrop",NA,"Eukaryota","Basidiomycota"
"6035","P3080",0.0739325981147188,"nearCrop",NA,"Eukaryota","Microsporidia"
"5515","P3094",78.5935405930876,"nearCrop",NA,"Eukaryota","Ascomycota"
"4785","P3094",12.1184665043321,"nearCrop",NA,"Eukaryota","Oomycota"
"84751","P3094",9.25495969949223,"nearCrop",NA,"Eukaryota","Basidiomycota"
"6035","P3094",0.0330332030881326,"nearCrop",NA,"Eukaryota","Microsporidia"
"5515","P3142",82.30795669359,"nearCrop",NA,"Eukaryota","Ascomycota"
"4785","P3142",9.77773958870367,"nearCrop",NA,"Eukaryota","Oomycota"
"84751","P3142",7.87248668156041,"nearCrop",NA,"Eukaryota","Basidiomycota"
"6035","P3142",0.0418170361459586,"nearCrop",NA,"Eukaryota","Microsporidia"
"5515","P3236",82.0182402244951,"nearCrop",NA,"Eukaryota","Ascomycota"
"4785","P3236",10.1281246538419,"nearCrop",NA,"Eukaryota","Oomycota"
"84751","P3236",7.81578850201233,"nearCrop",NA,"Eukaryota","Basidiomycota"
"6035","P3236",0.0378466196507034,"nearCrop",NA,"Eukaryota","Microsporidia"
"5515","P3244",86.2639702750731,"nearCrop",NA,"Eukaryota","Ascomycota"
"4785","P3244",7.74160070102265,"nearCrop",NA,"Eukaryota","Oomycota"
"84751","P3244",5.96407748454274,"nearCrop",NA,"Eukaryota","Basidiomycota"
"6035","P3244",0.0303515393615407,"nearCrop",NA,"Eukaryota","Microsporidia"
"5515","P3251",79.6681440117066,"nearCrop",NA,"Eukaryota","Ascomycota"
"4785","P3251",11.8538017105805,"nearCrop",NA,"Eukaryota","Oomycota"
