	5QBDM2ESPNATXXX0494	5QBDM2ESPPOOBXX0490	BR5r-M2-ESP-POO-B-XX-1621	BR5rM2ESPNATXXX1625	MvvQ-M2-ESP-POO-A-XX-1616	MvvQM2ESPNATXXX1620	TZEpM2ESPNATXXX0504	TZEpM2ESPPOOAXX0500
Streptomyces.chartreusis	87129	36801	102114	50806	43098	30888	10146	22245
Streptomyces.hygroscopicus	52817	20102	72563	34532	33486	29279	12856	19190
Streptomyces.rapamycinicus	13734	6115	22560	10617	10362	8396	3621	5603
Streptomyces.violaceusniger	8334	3532	12956	6054	6269	4798	1951	3261
Streptomyces.yatensis	7081	3530	12884	6363	6064	4830	2028	3173
Streptomyces.malaysiensis	4024	2117	8138	3864	3998	2974	1190	1957
Streptomyces.ferrugineus	45735	36642	75279	18502	70989	13057	4184	18369
Streptomyces.parvulus	47583	5957	21763	11433	10392	8823	3497	6098
Streptomyces.coeruleorubidus	48497	12375	33185	26051	14453	12721	4342	9028
Streptomyces.griseus	19760	8256	30514	15646	14103	11586	5092	8067
Streptomyces.sp..M54	3562	1539	6172	3451	3139	2473	1034	1546
Streptomyces.anulatus	15993	7005	24953	12448	12063	9391	3963	6696
Streptomyces.microflavus	18307	8654	31554	16364	15079	12422	5136	8261
Streptomyces.globisporus	21486	10795	39514	18930	17352	15699	6716	9950
Streptomyces.nigra	36367	9097	25703	12326	13889	10014	3800	6483
Streptomyces.albus	37250	14986	54649	27718	26641	22224	9851	14633
Streptomyces.hawaiiensis	35761	7535	23165	18360	10944	8942	3952	6042
Streptomyces.glaucescens	34920	6341	22656	11684	10937	8967	3774	6311
Streptomyces.fungicidicus	83173	3176	10078	6795	5173	3988	1631	3061
Streptomyces.lincolnensis	30339	10102	32830	14867	15618	11736	4269	7835
Streptomyces.cyaneochromogenes	29609	16810	48761	15642	26104	12859	4056	11900
Streptomyces.griseorubiginosus	29986	10450	35895	17117	17466	15652	6442	9502
Streptomyces.tuirus	30372	5517	18596	13906	9049	8106	3683	5188
Streptomyces.capitiformicae	25318	9274	31814	18538	16261	10670	3539	8579
Streptomyces.formicae	27298	12245	42749	19956	20273	16058	6778	11064
Streptomyces.actuosus	27893	7448	26721	13120	12817	10891	4380	7126
Streptomyces.seoulensis	27092	8964	32555	16686	15393	13120	5647	8538
Streptomyces.davaonensis	25608	7699	25896	11868	12911	9755	3557	6487
Streptomyces.aquilus	25727	8908	29593	13417	14094	19680	4536	7640
Streptomyces.lydicus	31091	15069	56355	27096	26664	21223	9620	14430
Streptomyces.chromofuscus	25665	5680	20982	9776	10736	10799	3505	5241
Streptomyces.galilaeus	24666	5700	19878	9622	9789	7956	3132	5068
Streptomyces.buecherae	23215	10331	35969	18660	17317	14326	6219	9610
Streptomyces.asoensis	23335	7059	24139	11404	12057	9547	3580	6215
Streptomyces.bingchenggensis	21527	9538	32826	15265	15288	11974	5123	8267
Streptomyces.tsukubensis	23081	9465	34203	16795	15834	12406	5492	8711
Streptomyces.bathyalis	20941	8103	40779	16502	16523	16288	5394	7684
Streptomyces.niveus	24023	10550	37995	18730	18742	14022	6271	9977
